Owner,total_capacity,number_of_plants,number_of_countries,number_of_regions,avg_litpop_value_usd,largest_plant,Latitude,Longitude
US Steel Košice sro,4500.0,1,1,1,,U. S. Steel Košice steel plant,48.612001,21.191401
Tianjin Tiangang UNITED SPECIAL Steel Co Ltd,4500.0,1,1,1,10311114379.091043,Tianjin New Tiangang United Special Steel Co Ltd,39.300258,117.800231
Habas Industrial and Medical Gases Production Industries AŞ,4500.0,1,1,1,,Habas Aliaga steel plant,38.751462,26.950172
Persian Gulf Saba Steel,4500.0,1,1,1,,Persian Gulf Saba Steel,27.189076,56.105633
Shanxi HONGDA Iron and Steel Group Co Ltd,4500.0,1,1,1,250634379.58227268,Shanxi Hongda Iron and Steel Group Co Ltd,35.701895,110.786826
Tangshan RUIFENG Steel and Iron (GROUP) Co Ltd,4500.0,1,1,1,438464931.03294915,Tangshan Ruifeng Iron and Steel Group Co Ltd,39.497472,118.272056
Arab Steel Co,4500.0,1,1,1,,Al Ittefaq Arab Steel Dammam plant,26.277917,49.949177
Metinvest Holding LLC,4500.0,1,1,1,,Metinvest EAF steel plant,49.039389,31.332628
Çolakoğlu Metalürji AŞ,4500.0,1,1,1,,Colakoglu Metallurgical Dilovasi steel plant,40.768409,29.529979
Vina Roma Quang Tri Steel JSC,4500.0,1,1,1,,Vina Roma Quang Tri steel plant,16.756559,107.329547
Hanshan Iron and Steel Co Ltd,4488.0,1,1,1,296202759.7826058,Handan Steel Group Handan Bao Steel Co Ltd,36.685881,113.837073
Evonith Metallics Ltd,4480.0,2,1,1,428413959.05805874,Evonith Metallics Wardha steel plant,20.704605,78.620293
Hubei Jinshenglan Metallurgical Technology Co Ltd,4450.0,1,1,1,96700424.06712171,Hubei Jinshenglan Metallurgical Technology Co Ltd,29.916729,113.822921
Fujian Luoyuan Minguang Iron & Steel Co Ltd,4450.0,1,1,1,53661889.35483706,Fujian Luoyuan Minguang Iron and Steel Co Ltd,26.483815,119.67105
Chengde Jianlong SPECIAL Steel Co Ltd,4400.0,1,1,1,277866579.7444777,Chengde Jianlong Special Steel Co Ltd,40.515035,117.596071
Evraz NTMK JSC,4400.0,1,1,1,,Evraz NTMK steel plant,57.922851,60.033543
Minyuan Iron and Steel Group Co Ltd,4350.0,1,1,1,258770067.85181326,Minyuan Iron and Steel Group Co Ltd,34.013369,116.422599
Algerian Qatari Steel,4300.0,1,1,1,,Algerian Qatari Steel Jijel plant,36.753961,6.24442
Acciaieria Arvedi SpA,4300.0,1,1,1,,Finarvedi Cremona steel plant,45.145949,9.950821
Mariupolskyi Metalurgiinyi Kombinat Imeni Illicha PrAT,4299.0,1,1,1,,Metinvest Ilyich Iron and Steel Works,47.1402768,37.5943416
Tangshan Heavy Plate Co Ltd,4200.0,1,1,1,658638310.9064554,Tangshan Medium Thick Plate Co Ltd,39.268452,119.024819
Jianlong Xilin Iron and Steel Co Ltd,4200.0,1,1,1,10642384.938641924,Jianlong Xilin Iron and Steel Co Ltd,47.495036,129.287919
Shijiazhuang Iron and Steel Co Ltd,4160.0,2,1,1,41715661516.27928,Shijiazhuang Iron and Steel Co Ltd,38.060735,114.560358
Wuan Yuhua Steel Co Ltd,4100.0,1,1,1,2791499561.2492723,Wu an Yuhua Iron and Steel Co Ltd,36.731752,114.098377
Changshu Longteng Special Steel Co Ltd,4075.0,1,1,1,9736930825.62187,Changshu Longteng Special Steel Co Ltd,31.723833,120.835685
Tangshan Stainless Steel Co Ltd,4050.0,2,1,1,1009690044.964777,Tangshan Stainless Steel Co Ltd Guye District,39.730795,118.467608
Tangshan GUOYI SPECIAL Steel Co Ltd,4050.0,1,1,1,1597397963.2435653,Tangshan Guoyi Special Type Iron and Steel Co Ltd,39.659153,118.411488
Jiangsu Shagang Group Huaigang SPECIAL Steel Co Ltd,4037.0,1,1,1,4165354036.0691886,Jiangsu Shagang Group Huaigang Special Steel Co Ltd,33.566039,118.988442
Kunming Iron & Steel Holding Co Ltd,4000.0,1,1,1,,Kunming Iron and Steel Myanmar plant,21.423783,96.454378
